1,prioritario,15,pyme,casa-K,2,2020.10.19 01:13:41
5,normal,10,pyme,casa-A,1,2020.10.19 01:13:47
7,normal,10,pyme,casa-D,1,2020.10.19 01:13:53
12,normal,75,pyme,casa-N,2,2020.10.19 01:14:06
16,normal,20,pyme,casa-S,1,2020.10.19 01:14:12
19,normal,22,pyme,casa-R,1,2020.10.19 01:14:20
21,normal,90,pyme,casa-N,1,2020.10.19 01:14:25
25,prioritario,9,pyme,casa-C,1,2020.10.19 01:14:32
26,normal,5,pyme,casa-C,1,2020.10.19 01:14:37
28,normal,4,pyme,casa-I,1,2020.10.19 01:14:42
30,normal,16,pyme,casa-E,2,2020.10.19 01:14:49
37,normal,9,pyme,casa-F,1,2020.10.19 01:15:01
41,normal,17,pyme,casa-U,1,2020.10.19 01:15:09
44,normal,16,pyme,casa-X,1,2020.10.19 01:15:17
47,normal,10,pyme,casa-A,1,2020.10.19 01:15:25
48,normal,7,pyme,casa-Q,1,2020.10.19 01:15:30
49,normal,4,pyme,casa-B,1,2020.10.19 01:15:35
50,normal,5,pyme,casa-A,1,2020.10.19 01:15:40
51,normal,5,pyme,casa-L,1,2020.10.19 01:15:42
52,normal,6,pyme,casa-D,1,2020.10.19 01:15:47
